theta1,theta2,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,energy
2.5,87.5,-0.00027486212785014937,-0.0016969869663885826,268.8709314776031,-0.7424203326890797,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.011222313608192489,107.46347556011692,-4627.644053815514
2.5,82.5,-0.000508797614495021,-0.0023498806821044315,268.8755341020728,-0.7293624587190657,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.018704808572561786,107.31332273315745,-4627.769950478273
2.5,77.5,-0.001028987098780249,-0.003229681423633655,268.8858330703585,-0.7117664435368718,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.03414078849418899,107.00522102949124,-4628.036121208775
2.5,72.5,-0.002301021301931602,-0.004345587267858449,268.91142068734655,-0.6894483270792481,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.07050077485973695,106.28045250361325,-4628.67901195489
2.5,67.5,-0.005775129326781887,-0.005664047145201506,268.9808869527562,-0.6630791296383995,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.17189317464730464,104.24971437017642,-4630.51731479359
2.5,62.5,-0.01644433434566825,-0.007123721302904135,269.1942196866914,-0.6338856465355808,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.43962804641115316,98.89474216960045,-4635.374154784541
2.5,57.5,-0.0492024769928275,-0.008668026589018385,269.8494393627032,-0.6029995407150447,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,0.8658928285043705,90.37022238761006,-4642.820606450539
2.5,52.5,-0.006669799455421945,-0.010267673504605834,268.99880625174546,-0.5710066028174379,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,1.43114129416973,79.06385870495426,-4654.339428809968
2.5,47.5,2.569722497430673,-0.01192395981943223,217.4709692172665,-0.537880876873281,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,2.083261545859148,66.02183028926721,-4715.6493122719285
2.5,42.5,10.696580965298862,-0.013662009600372005,54.933832860670535,-0.503119880904226,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,2.781006191036401,52.06678265569673,-4883.283870202862
2.5,37.5,13.462366979310033,-0.015521599429256003,-0.3819365503714684,-0.46592808443406447,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,3.4864168921129357,37.95790517167161,-4949.2019881762
2.5,32.5,13.510542887137076,-0.017544004175710958,-1.3454820853753404,-0.4254799896185674,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,4.150071440510899,24.685599363194633,-4962.687583373387
2.5,27.5,13.468339166933168,-0.01974617168955471,-0.5014312108860474,-0.38143663931237354,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,4.696241777234117,13.761974640198279,-4972.2213494225825
2.5,22.5,13.453318019852864,-0.02207598706355865,-0.20098923650088368,-0.3348403320955832,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.073698003959462,6.213801437512181,-4979.062379079395
2.5,17.5,13.448016410001683,-0.024371150214962486,-0.0943703440001022,-0.28893706888080717,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.229690459661314,3.094079541854853,-4981.881183136637
2.5,12.5,13.445895319371083,-0.026385005331466763,-0.05252885425541876,-0.24865996666401738,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.2893150626332375,1.9008770873896512,-4982.936777341916
2.5,7.5,13.445029443976184,-0.02789557259264509,-0.03517158030127101,-0.218448621302503,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.3145972031273745,1.3954221706082437,-4983.371757941545
2.5,2.5,13.44470771231456,-0.028791941970779212,-0.02879194197077916,-0.20052123342972686,-42.61148202871651,-4967.158353636122,5.32435231129048,1.200192368487974,5.324650972593495,1.200192382362715,-4983.533845035161
7.5,87.5,-0.00028905715852327535,-0.0014130863345896616,268.87843174578103,-0.8936184990091393,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.011222313608192489,107.46347556011692,-4627.601962313902
7.5,82.5,-0.0005309157916659512,-0.0019075171515365392,268.88327014511617,-0.8837298835798405,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.018704808572561786,107.31332273315745,-4627.730641920583
7.5,77.5,-0.0010624201934781405,-0.0025610195759356077,268.8939077017237,-0.8706598347802266,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.03414078849418899,107.00522102949124,-4628.000785045746
7.5,72.5,-0.002348968773845729,-0.0033866378204766086,268.9196637594518,-0.854147472808683,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.07050077485973695,106.28045250361325,-4628.649037332385
7.5,67.5,-0.005839356194231134,-0.004379509661296637,268.9894668526367,-0.8342900350061178,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.17189317464730464,104.24971437017642,-4630.493205794308
7.5,62.5,-0.016524313861228282,-0.005524131224923027,269.20316027333405,-0.8113976017255718,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.43962804641115316,98.89474216960045,-4635.355686848372
7.5,57.5,-0.049295394339287396,-0.0068096832434378345,269.85856877653094,-0.7856865621728268,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,0.8658928285043705,90.37022238761006,-4642.806878938018
7.5,52.5,-0.006770994836137372,-0.008243755020275849,269.0081020292524,-0.7570051262749014,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,1.43114129416973,79.06385870495426,-4654.3286891386615
7.5,47.5,2.5696194765401446,-0.009860193265896305,217.4803308890311,-0.7246763617677956,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,2.083261545859148,66.02183028926721,-4715.639265645243
7.5,42.5,10.696481892072867,-0.011723302775013895,54.94304859641954,-0.6874141716392294,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,2.781006191036401,52.06678265569673,-4883.271589430095
7.5,37.5,13.462285447930888,-0.01392946596095943,-0.3730685754362955,-0.6432909079036243,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,3.4864168921129357,37.95790517167161,-4949.183452728492
7.5,32.5,13.510494072232227,-0.01659742740930223,-1.3372594966985594,-0.589931677926266,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,4.150071440510899,24.685599363194633,-4962.657395017003
7.5,27.5,13.468342765757061,-0.01981949380849209,-0.4942285235172292,-0.5254903515220766,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,4.696241777234117,13.761974640198279,-4972.172750476566
7.5,22.5,13.453392760427016,-0.02353799568130628,-0.19517523722758073,-0.4511203134680275,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,5.073698003959462,6.213801437512181,-4978.988712635385
7.5,17.5,13.448141190696594,-0.027404534106859942,-0.09012772026541288,-0.3737895453662015,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,5.229690459661314,3.094079541854853,-4981.779181898432
7.5,12.5,13.44612085597391,-0.030861383893012937,-0.04972922510796924,-0.30465254962520505,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,5.2893150626332375,1.9008770873896512,-4982.808701443536
7.5,7.5,13.44530651864934,-0.033484777301687384,-0.033484777301686836,-0.2521846813561014,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,5.3145972031273745,1.3954221706082437,-4983.223599634482
7.5,2.5,13.445029483857912,-0.03517158030127232,-0.027895572592641724,-0.21844862130250117,-42.61148202871651,-4967.158353636122,5.314642306041921,1.395422067890517,5.324650972593495,1.200192382362715,-4983.371414226289
12.5,87.5,-0.000298472254831111,-0.0012247844347849145,268.8974949423064,-1.2747413613191354,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.011222313608192489,107.46347556011692,-4627.483694844036
12.5,82.5,-0.0005450133348034025,-0.0016255662778419794,268.9024363347756,-1.2667257240747367,-42.61148202871651,-4967.158353636122,5.289335393592499,1.900877229186066,0.018704808572561786,107.31332273315745,-4627.614055469242
